name,text,manaCost,type,rarity,games_in_hand,win_rate,set_code
Specimen Freighter,"When this Spacecraft enters, return up to two target non-Spacecraft creatures to their owners' hands.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 9+.)
9+ | Flying
Whenever this Spacecraft attacks, defending player mills four cards.",{5}{U},Artifact — Spacecraft,uncommon,52293,0.559,EOE
Starbreach Whale,"Flying
When this creature enters, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
Warp {1}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",{4}{U},Creature — Whale,common,72185,0.532,EOE
Starfield Vocalist,"If a permanent entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
Warp {1}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",{3}{U},Creature — Human Bard,rare,22569,0.538,EOE
Starwinder,"Whenever a creature you control deals combat damage to a player, you may draw that many cards.
Warp {2}{U}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",{5}{U}{U},Creature — Leviathan,rare,23225,0.566,EOE
Steelswarm Operator,"Flying
{T}: Add {U}. Spend this mana only to cast an artifact spell.
{T}: Add {U}{U}. Spend this mana only to activate abilities of artifact sources.",{1}{U},Artifact Creature — Robot Soldier,uncommon,34599,0.524,EOE
Synthesizer Labship,"Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 9+.)
2+ | At the beginning of combat on your turn, up to one other target artifact you control becomes an artifact creature with base power and toughness 2/2 and gains flying until end of turn.
9+ | Flying, vigilance",{U},Artifact — Spacecraft,rare,27917,0.596,EOE
Tractor Beam,"Enchant creature or Spacecraft
When this Aura enters, tap enchanted permanent.
You control enchanted permanent.
Enchanted permanent doesn't untap during its controller's untap step.",{2}{U}{U},Enchantment — Aura,uncommon,78404,0.582,EOE
Unravel,"Counter target spell. If the amount of mana spent to cast that spell was less than its mana value, you draw a card.",{1}{U}{U},Instant,uncommon,29908,0.554,EOE
Uthros Psionicist,The second spell you cast each turn costs {2} less to cast.,{2}{U},Creature — Jellyfish Scientist,uncommon,70630,0.574,EOE
Uthros Scanship,"When this Spacecraft enters, draw two cards, then discard a card.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 8+.)
8+ | Flying",{3}{U},Artifact — Spacecraft,uncommon,56091,0.57,EOE
Weftwalking,"When this enchantment enters, if you cast it, shuffle your hand and graveyard into your library, then draw seven cards.
The first spell each player casts during each of their turns may be cast without paying its mana cost.",{4}{U}{U},Enchantment,mythic,14986,0.586,EOE
"Alpharael, Stonechosen","Ward—Discard a card at random.
Void — Whenever Alpharael attacks, if a nonland permanent left the battlefield this turn or a spell was warped this turn, defending player loses half their life, rounded up.",{3}{B}{B},Legendary Creature — Human Cleric,mythic,3594,0.504,EOE
Archenemy's Charm,"Choose one —
• Exile target creature or planeswalker.
• Return one or two target creature and/or planeswalker cards from your graveyard to your hand.
• Put two +1/+1 counters on target creature you control. It gains lifelink until end of turn.",{B}{B}{B},Instant,rare,17941,0.569,EOE
Beamsaw Prospector,"When this creature dies, create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",{1}{B},Creature — Human Artificer,common,128312,0.549,EOE
Blade of the Swarm,"When this creature enters, choose one —
• Put two +1/+1 counters on this creature.
• Put target exiled card with warp on the bottom of its owner's library.",{3}{B},Creature — Insect Assassin,uncommon,8061,0.521,EOE
Chorale of the Void,"Enchant creature you control
Whenever enchanted creature attacks, put target creature card from defending player's graveyard onto the battlefield under your control tapped and attacking.
Void — At the beginning of your end step, sacrifice this Aura unless a nonland permanent left the battlefield this turn or a spell was warped this turn.",{3}{B},Enchantment — Aura,rare,9508,0.478,EOE
Comet Crawler,"Lifelink
Whenever this creature attacks, you may sacrifice another creature or artifact. If you do, this creature gets +2/+0 until end of turn.",{2}{B},Creature — Insect Horror,common,45559,0.538,EOE
Dark Endurance,"This spell costs {1} less to cast if it targets a blocking creature.
Target creature gets +2/+0 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",{1}{B},Instant,common,6991,0.519,EOE
Decode Transmissions,"You draw two cards and lose 2 life.
Void — If a nonland permanent left the battlefield this turn or a spell was warped this turn, instead you draw two cards and each opponent loses 2 life.",{2}{B},Sorcery,common,51679,0.528,EOE
Depressurize,"Target creature gets -3/-0 until end of turn. Then if that creature's power is 0 or less, destroy it.",{1}{B},Instant,common,149561,0.565,EOE
Dubious Delicacy,"Flash
When this artifact enters, up to one target creature gets -3/-3 until end of turn.
{2}, {T}, Sacrifice this artifact: You gain 3 life.
{2}, {T}, Sacrifice this artifact: Target opponent loses 3 life.",{2}{B},Artifact — Food,uncommon,75614,0.606,EOE
Elegy Acolyte,"Lifelink
Whenever one or more creatures you control deal combat damage to a player, you draw a card and lose 1 life.
Void — At the beginning of your end step, if a nonland permanent left the battlefield this turn or a spell was warped this turn, create a 2/2 colorless Robot artifact creature token.",{2}{B}{B},Creature — Human Cleric,rare,28148,0.647,EOE
Embrace Oblivion,"As an additional cost to cast this spell, sacrifice an artifact or creature.
Destroy target creature or Spacecraft.",{B},Sorcery,common,117095,0.559,EOE
Entropic Battlecruiser,"Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 8+.)
1+ | Whenever an opponent discards a card, they lose 3 life.
8+ | Flying, deathtouch
Whenever this Spacecraft attacks, each opponent discards a card. Each opponent who can't loses 3 life.",{3}{B},Artifact — Spacecraft,rare,11274,0.525,EOE
Faller's Faithful,"When this creature enters, destroy up to one other target creature. If that creature wasn't dealt damage this turn, its controller draws two cards.",{2}{B},Creature — Human Wizard,uncommon,66314,0.58,EOE
Fell Gravship,"When this Spacecraft enters, mill three cards, then return a creature or Spacecraft card from your graveyard to your hand.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 8+.)
8+ | Flying, lifelink",{2}{B},Artifact — Spacecraft,uncommon,72978,0.603,EOE
Gravblade Heavy,"As long as you control an artifact, this creature gets +1/+0 and has deathtouch.",{3}{B},Creature — Human Soldier,common,14904,0.508,EOE
Gravkill,Exile target creature or Spacecraft.,{3}{B},Instant,common,143126,0.561,EOE
Gravpack Monoist,"Flying
When this creature dies, create a tapped 2/2 colorless Robot artifact creature token.",{2}{B},Creature — Human Scout,common,147343,0.57,EOE
Hullcarver,Deathtouch,{B},Artifact Creature — Robot Assassin,common,103450,0.556,EOE
Hylderblade,"Equipped creature gets +3/+1.
Void — At the beginning of your end step, if a nonland permanent left the battlefield this turn or a spell was warped this turn, attach this Equipment to target creature you control.
Equip {4} ({4}: Attach to target creature you control. Equip only as a sorcery.)",{B},Artifact — Equipment,uncommon,30275,0.545,EOE
Hymn of the Faller,"Surveil 1, then you draw a card and lose 1 life. (To surveil 1, look at the top card of your library. You may put it into your graveyard.)
Void — If a nonland permanent left the battlefield this turn or a spell was warped this turn, draw another card.",{1}{B},Sorcery,uncommon,35531,0.516,EOE
Insatiable Skittermaw,"Menace (This creature can't be blocked except by two or more creatures.)
Void — At the beginning of your end step, if a nonland permanent left the battlefield this turn or a spell was warped this turn, put a +1/+1 counter on this creature.",{2}{B},Creature — Insect Horror,common,34944,0.517,EOE
Lightless Evangel,"Whenever you sacrifice another creature or artifact, put a +1/+1 counter on this creature.",{1}{B},Creature — Vampire Cleric,uncommon,38760,0.536,EOE
Monoist Circuit-Feeder,"Flying
When this creature enters, until end of turn, target creature you control gets +X/+0 and target creature an opponent controls gets -0/-X, where X is the number of artifacts you control.",{4}{B}{B},Artifact Creature — Nautilus,uncommon,69736,0.588,EOE
Monoist Sentry,Defender,{B},Artifact Creature — Robot,uncommon,23620,0.529,EOE
Perigee Beckoner,"When this creature enters, until end of turn, another target creature you control gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control.""
Warp {1}{B} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",{4}{B},Creature — Horror,common,120431,0.566,EOE
Requiem Monolith,"{T}: Until end of turn, target creature gains ""Whenever this creature is dealt damage, you draw that many cards and lose that much life."" That creature's controller may have this artifact deal 1 damage to it. Activate only as a sorcery.",{2}{B},Artifact,rare,22208,0.553,EOE
Scrounge for Eternity,"As an additional cost to cast this spell, sacrifice an artifact or creature.
Return target creature or Spacecraft card with mana value 5 or less from your graveyard to the battlefield. Then create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",{2}{B},Sorcery,uncommon,14891,0.491,EOE
"Sothera, the Supervoid","Whenever a creature you control dies, each opponent chooses a creature they control and exiles it.
At the beginning of your end step, if a player controls no creatures, sacrifice Sothera, then put a creature card exiled with it onto the battlefield under your control with two additional +1/+1 counters on it.",{2}{B}{B},Legendary Enchantment,mythic,8129,0.526,EOE
Sunset Saboteur,"Menace
Ward—Discard a card.
Whenever this creature attacks, put a +1/+1 counter on target creature an opponent controls.",{1}{B},Creature — Human Rogue,rare,28528,0.616,EOE
